date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:43	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202024%2005:16:42%20GMT	https://www.firewatchgame.com/robots.txt		(from )
10:46:44	11477/11477	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jan%202024%2005:16:42%20GMT	https://www.firewatchgame.com/	D:/firewatch/www.firewatchgame.com/index.html	(from )
10:46:44	894/894	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225321ec92-37e%22	https://www.firewatchgame.com/favicon.ico	D:/firewatch/www.firewatchgame.com/favicon.ico	(from https://www.firewatchgame.com/)
10:46:45	387322/387322	---MCZ	200	added ('OK')	image/png	etag:W/%2256941b71-5e8fa%22	https://www.firewatchgame.com/images/badge.png	D:/firewatch/www.firewatchgame.com/images/badge.png	(from https://www.firewatchgame.com/)
10:46:45	80198/80198	---MCZ	200	added ('OK')	image/png	etag:W/%2256941b71-13946%22	https://www.firewatchgame.com/images/appicon.png	D:/firewatch/www.firewatchgame.com/images/appicon.png	(from https://www.firewatchgame.com/)
10:46:45	23225/23225	---MCZ	200	added ('OK')	text/css	etag:W/%225c196ae5-5ab9%22	https://www.firewatchgame.com/css/firewatchlaunch.css	D:/firewatch/www.firewatchgame.com/css/firewatchlaunch.css	(from https://www.firewatchgame.com/)
10:46:46	3972/3972	---MCZ	200	added ('OK')	text/css	etag:W/%225aab1986-f84%22	https://www.camposanto.com/css/camponav.css	D:/firewatch/www.camposanto.com/css/camponav.css	(from https://www.firewatchgame.com/)
10:46:46	7806/7806	---MCZ	200	added ('OK')	text/css	etag:W/%225697fb96-1e7e%22	https://www.firewatchgame.com/css/magnific-popup.css	D:/firewatch/www.firewatchgame.com/css/magnific-popup.css	(from https://www.firewatchgame.com/)
10:46:46	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%2214bc709a754ce59445344b885651fe54:1613546128.254856%22	https://cloud.typography.com/7635874/6351012/css/fonts.css	D:/firewatch/cloud.typography.com/7635874/6351012/css/fonts.6.delayed	(from https://www.firewatchgame.com/)
10:46:47	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2017%20Jan%202024%2005:16:46%20GMT	http://firewatchgame.com/fonts/811777/DAC09D58841226C6C.css	D:/firewatch/firewatchgame.com/fonts/811777/DAC09D58841226C6C.7.delayed	(from https://www.firewatchgame.com/)
10:46:50	78166/78166	---MCZ	200	added ('OK')	text/css	etag:W/%22602d32b2-13156%22	http://www.firewatchgame.com/fonts/811777/DAC09D58841226C6C.css	D:/firewatch/www.firewatchgame.com/fonts/811777/DAC09D58841226C6C.css	(from https://www.firewatchgame.com/)
10:46:50	18627/18627	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Jan%202024%2005:16:48%20GMT	http://use.typekit.net/nsv4yzv.js	D:/firewatch/use.typekit.net/nsv4yzv.js	(from https://www.firewatchgame.com/)
10:46:50	1349/1349	---MCZ	200	added ('OK')	image/png	etag:W/%225c1437e8-545%22	https://www.firewatchgame.com/images/buyicon_pc.png	D:/firewatch/www.firewatchgame.com/images/buyicon_pc.png	(from https://www.firewatchgame.com/)
